TNF (ng/ml),EGF (ng/ml),Ins (ng/ml),C225 (µg/ml),IL-1ra (µg/ml),Time (min),Replicate,ERK,Akt,JNK,IKK,MK2,pMEK,pAkt (IB),pFKHR,pIRS1-636,pIRS1-896,ProC8,ClvC8,ProC3,pEGFR,tEGFR,ptEGFR,pAkt (AA),tAkt,ptAkt,CC3/CCK,Annexin,PI,Sub G1
0,0,0,0,0,720,2,1.576211349,0.979700838,2.203369908,1.273573912,2.000292135,0.735861094,1.712661345,0.298611749,2.06796845,0.36132798,1.54280782,0.057656282,1.720035705,0.791503683,0.556443884,1.417206895,0.895196521,0.836243193,1.069872226,11.1755147468002,4.7059634369287,5.18494532374101,4.63713747645951
0,0,0,0,0,720,3,1.317849553,1.127304721,1.673788835,1.094022057,2.363239589,0.704272296,1.722555705,0.284877843,1.312553913,0.834776222,1.517447626,0.127779327,1.603013178,1.004764993,1.080068226,0.926861825,1.007863174,0.78370179,1.285277372,7.80136894824708,4.87605850091408,5.95717122302158,5.08880671117959
0,0,0,0,0,960,1,2.258114778,0.871195721,1.353968977,1.21704052,1.922754274,0.622098783,1.635191301,4.137514655,1.24199252,1.825219431,1.49477062,0.058787077,1.582427626,0.804064044,0.628184834,1.275278048,1.012999964,0.802014142,1.262331814,,,,
0,0,0,0,0,960,2,2.425800347,1.310627789,1.346870787,1.497394243,1.832634633,0.634135095,1.794783118,0.211764803,1.408168491,0.669621897,1.649194233,0.152017039,1.565097897,0.785966051,0.469410103,1.668218928,0.785375791,0.678535621,1.156780561,,,,
0,0,0,0,0,960,3,1.682209392,1.332246679,0.955281039,1.571217927,2.491928761,0.525552411,1.678963422,0.175921564,1.878963621,0.710671506,1.444936901,0.16478505,1.437711439,0.816035768,0.543744457,1.495257679,1.025121085,0.777746361,1.317295784,,,,
0,0,0,0,0,1200,1,2.587830924,1.529962446,1.296564867,0.44266394,2.176795187,0.63613124,1.395664515,0.13942608,1.389256129,0,1.30084727,0.200836178,1.613237017,0.777945,0.571651474,1.355873758,0.847499666,0.675177739,1.254490984,,,,
0,0,0,0,0,1200,2,1.686147423,1.76513724,1.112009611,1.032604289,2.14489003,0.651936039,1.370904041,0.001931733,2.427618679,0.043748208,1.486704527,0.146917343,1.510134578,0.890389818,0.573784005,1.546085251,1.010167863,0.756397014,1.334719071,,,,
0,0,0,0,0,1200,3,1.500992321,1.925196018,0.958416445,0.625369574,1.965242492,0.485145263,1.457036398,0.02543344,1.570234072,3.649896026,1.385121229,0.230080153,1.305468048,0.778341606,0.465302176,1.666621009,1.004752425,0.739346544,1.358179401,,,,
0,0,0,0,0,1440,1,2.863876128,1.110361754,1.38546127,0.682651522,2.100282808,0.693794375,1.559882427,0.070270309,1.066416202,3.411499106,1.533376432,0.200264113,1.197853654,0.783611554,0.524362004,1.488919801,0.750097619,0.603228964,1.24274414,11.8517021127255,6.98712937743191,8.58590155807365,10.1475281010644
0,0,0,0,0,1440,2,2.569187727,0.944918495,1.031608282,1.069422858,1.853155198,0.635067517,1.276765801,0.376641331,1.459953682,0,1.658334836,0.176462996,1.134920409,0.891848634,0.635887158,1.397374412,0.9517864,0.812782544,1.17033785,14.8146276409069,7.38753793774319,8.03539943342776,4.73861633343281
0,0,0,0,0,1440,3,1.817385248,1.025591301,0.605333776,0.583696801,1.879665406,0.756752604,1.552755968,0.7501853,1.601954323,0,1.751617641,0.253030807,1.064542864,0.832953797,0.515829057,1.60885461,0.995358257,0.779892533,1.275530316,13.2273461079526,6.2063326848249,8.23821600566572,5.91163334328061
0,0,0,0,0,2880,1,,,,,,,,,,,,,,,,,,,,34.4552569844316,14.9427615571776,11.8926195121951,11.5219026870007
0,0,0,0,0,2880,2,,,,,,,,,,,,,,,,,,,,32.0272019620388,14.1183333333333,12.9649048780488,10.9539215686275
0,0,0,0,0,2880,3,,,,,,,,,,,,,,,,,,,,36.7676903390915,13.2939051094891,13.4523073170732,14.7675090777052
100,0,0,0,0,0,1,1.350383627,1.226176032,2.205925205,1.018943815,1.416407316,1.428300496,0.932677062,0.101357285,1.239830836,1.184896011,0.833788508,0,0.951305498,1.058640693,0.905334054,1.139361811,0.815569825,0.854249647,0.97160521,,,,
100,0,0,0,0,0,2,0.90236725,0.767874208,1.202600936,0.96781935,1.236677057,1.085195035,0.876891108,0.061457975,0.914827145,0.981151279,0.836290715,0.006884164,1.001063208,0.918486654,0.118551435,7.548974672,0.010054241,0.054420718,0.188017612,,,,
100,0,0,0,0,0,3,0.68618061,1.462370661,0.831028831,1.461757687,1.696572595,0.91887423,0.961602996,0.031088467,0.908486973,0.860253898,0.860692239,0,1.003147693,1.090660225,1.036474383,1.025304431,0.98396466,1.078743599,0.928270956,,,,
100,0,0,0,0,0,4,0.479105699,0.841113617,0.754443222,1.291046158,0.993328791,0.817508713,1.036446904,0.087718352,1.091132161,0.994539663,1.020952952,0,1.014062508,0.922346395,0.856258526,1.049569199,0.769081641,0.887151658,0.882242692,,,,
100,0,0,0,0,0,5,0.485248681,0.961907522,0.622592276,1.512453426,0.610262092,0.84657697,0.941461436,0.056772688,0.81783753,1.081103126,1.259776517,0,1.061685769,1.144571755,1.279950065,0.871308457,1.607189195,1.334628291,1.225519344,,,,
100,0,0,0,0,0,6,0.76064626,1.394748309,0.81345529,1.346132902,1.339779908,0.903544556,1.250920494,0.035373117,1.027885355,0.898056022,1.188499069,0,0.968735325,0.865294277,0.921982973,0.914456102,0.824194678,0.845226806,0.992361799,,,,
100,0,0,0,0,5,1,2.360456461,1.239274513,8.164035735,1.441877638,25.38646747,1.144500745,1.356229852,0.050408313,1.468446426,1.216879866,1.202732503,0,0.932664227,1.087850495,0.939335019,1.128419628,0.875928373,1.002102649,0.889549003,,,,
100,0,0,0,0,5,2,1.585014007,1.212051935,10.15498064,1.090890106,31.52593365,1.527052492,1.38143014,0.024243737,1.850265454,1.920983246,1.278820804,0,1.133159396,1.089164296,1.045656801,1.014906797,0.975465042,1.064399051,0.93265436,,,,
100,0,0,0,0,5,3,1.62130247,0.943898464,10.96345435,1.416337244,24.59697401,1.7857416,1.484620524,0.055843784,1.967820968,1.887336716,1.295227558,0,1.223370586,1.057304246,1.005297321,1.024772312,0.951888302,0.96018148,1.008895438,,,,
100,0,0,0,0,15,1,8.015889962,1.426869004,64.02640756,1.53892003,47.16730499,4.642114195,1.587612868,0.85971909,11.89714847,2.170598572,1.44254542,0,1.47303758,1.117576108,0.71308283,1.527070405,0.900611297,1.067706175,0.85841862,,,,
100,0,0,0,0,15,2,7.910616049,1.484802875,56.03459645,1.613107337,67.04328776,4.008303897,1.419052116,0.68344864,10.88267143,1.876609887,1.352332953,0,1.208282497,1.062455429,0.766497949,1.350584168,0.88688813,1.114400299,0.809918121,,,,
100,0,0,0,0,15,3,7.366168897,1.534043839,57.5234812,1.482048268,61.78784808,3.865076941,1.396164737,0.663087487,11.14228734,1.655819282,1.338413424,0,1.095496892,1.030765483,0.758169557,1.324693656,0.891103914,1.001731686,0.90529565,,,,
100,0,0,0,0,30,1,4.555121207,0.786485592,21.10581125,2.711001779,27.62785391,2.318472397,1.258099032,0.759884458,8.730868718,2.21872228,1.496861213,0,1.445976415,0.969680098,0.649443367,1.454819547,0.722697993,1.047974108,0.701810384,,,,
100,0,0,0,0,30,2,4.568092932,0.721896758,22.63377481,1.29842776,37.13353069,2.563081785,1.338971758,0.760391584,10.66489527,1.390879967,1.528271466,0.010728009,1.525224516,1.147412065,0.746291637,1.498072282,0.946269644,1.26689943,0.760127178,,,,
100,0,0,0,0,30,3,4.088163551,0.964193844,26.97666862,1.97368475,40.46522442,1.747500948,1.327505284,0.494663568,7.954775444,1.13906739,1.327994987,0,1.031000157,1.094174789,0.71593116,1.489146313,0.908280617,1.183282239,0.781169348,,,,
100,0,0,0,0,60,1,2.219263119,0.696875163,2.296948062,1.141921031,10.67251849,1.348147387,1.321619551,0.111667074,3.642038104,1.014830785,1.193585744,0.02715238,0.957605406,1.093375833,0.800092769,1.331530309,0.883937542,1.172563623,0.767182444,,,,
100,0,0,0,0,60,2,1.886109471,0.62802121,1.399612015,1.000075865,13.54946845,1.927842372,1.317547045,0.110827698,4.503933839,0.981914844,1.394183624,0,1.105877431,0.852736883,0.702512136,1.182723288,0.810446421,0.995511694,0.828497946,,,,
100,0,0,0,0,60,3,1.800298651,0.724994101,1.51385996,1.623139198,18.26605587,1.675517927,1.209241506,0.036736964,3.972445012,1.350146854,1.515512379,0,1.054826034,0.925912327,0.706969061,1.276119629,0.795488962,1.038170714,0.779792183,,,,
100,0,0,0,0,90,1,2.09915447,0.946956084,3.761778407,0.652761353,16.99280873,2.350295587,1.384352603,0.037196954,2.87526248,1.821942722,1.544754405,0.031205165,1.412860055,0.874760215,0.607555057,1.402895474,0.8258385,1.015327254,0.827756453,,,,
100,0,0,0,0,90,2,1.787812573,0.819007229,2.372053938,1.660061744,17.23596596,1.422948974,1.136511761,0.004276325,1.980489423,0.581832688,1.037551687,0,0.932551324,0.969057551,0.728115416,1.296794845,0.902150856,0.967622113,0.948826649,,,,
100,0,0,0,0,90,3,1.671818686,1.187130145,3.45363868,1.217208656,16.1852418,1.227868707,1.081923598,0,1.433552422,0.392360316,0.984671329,0,0.796237233,0.945195521,0.871917751,1.056253271,0.899270877,0.941456836,0.972083585,,,,
100,0,0,0,0,120,1,1.522719271,0.804444423,3.126710202,0.749385804,8.901929686,2.749925947,0.812222471,0.866249295,2.015705935,1.644917272,1.536476638,0.111692785,1.564182613,0.971108206,1.038734029,0.9109304,0.808151313,0.916895139,0.896987738,,,,
100,0,0,0,0,120,2,1.284116456,0.947661348,2.078112569,1.270162233,11.3796495,2.837461992,0.894712987,0.63834258,2.347147287,1.42066252,1.63971458,0.103710446,1.635455284,1.00230874,1.194450409,0.81762719,0.919446461,0.982976942,0.951911576,,,,
100,0,0,0,0,120,3,1.092497302,1.189679965,3.129450791,1.640280448,12.06954532,2.374919325,0.916436848,0.787798303,1.756872645,1.096971412,1.574610745,0.051371291,1.546326759,1.013823487,1.342467311,0.735835201,0.941839084,0.945718457,1.013510698,,,,
100,0,0,0,0,240,1,1.543511063,0.785266345,5.973511339,0.824397821,5.673200884,2.669179305,0.988065971,0.689846886,1.207566649,3.464394247,1.443955988,0.204004224,1.378151663,0.933086033,1.189666362,0.764220068,0.702077621,0.724057343,0.986792094,,,,
100,0,0,0,0,240,2,1.016591529,0.857636928,3.391715397,0.966121131,4.871562858,2.361207132,0.874558211,0.326792945,1.228836294,2.397956406,0.956514652,0.16905101,1.186743779,0.778469338,0.829090947,0.914873966,0.678082288,0.737118829,0.93617791,,,,
100,0,0,0,0,240,3,1.660552766,0.940543552,5.362771449,2.128533766,5.900744638,2.822022596,1.068847104,0.315840882,1.568809324,2.205116879,1.035108416,0.164280485,1.253562352,1.165686319,1.461203279,0.777307741,1.086673494,1.044647754,1.058626332,,,,
100,0,0,0,0,480,1,1.87858221,0.878138343,4.638412992,1.865685238,5.317968672,2.016907038,1.198113713,0.488213327,1.557662697,2.428104917,0.962877381,0.711582819,0.911238052,1.004624709,1.048167308,0.933888821,0.958931498,0.989255637,0.986489675,,,,
100,0,0,0,0,480,2,1.913107991,1.27033104,4.151308402,1.741433913,4.916833172,2.703655624,1.313179585,0.497954082,1.512135875,2.829621739,1.107510737,1.055915103,1.071940262,1.144210523,1.252813184,0.889900712,0.972143089,1.001179943,0.988169729,,,,
100,0,0,0,0,480,3,1.866197292,1.462654112,4.849166592,1.824992392,6.819935953,2.736957202,1.35718763,0.693095622,1.622085444,2.306658644,1.130769025,1.134277172,0.85975124,1.178049909,1.343269298,0.854520592,1.11844994,1.053558643,1.080367049,,,,
100,0,0,0,0,720,1,1.960650341,0.924268786,2.352535884,1.259372587,1.785339843,1.85910409,1.343892999,0,0.974617651,1.937371871,0.929702769,1.119241455,0.531539451,1.153058798,0.974705043,1.152657213,0.892450501,0.905339907,1.003196404,43.4281124497992,25.8797846567968,16.9853323029366,23.4760461760462
100,0,0,0,0,720,2,1.843687212,1.19544845,2.281283386,2.031091253,2.039749997,2.042620392,1.388679957,0,0.996199752,2.09446869,1.049581797,1.206039438,0.631912026,1.344678314,1.249920398,1.04823336,1.289379559,1.195872985,1.09725917,44.0485140562249,22.4361036339165,15.8793106646059,18.6539393939394
100,0,0,0,0,720,3,2.466246945,1.376657632,2.253807033,2.323283846,2.679447088,1.914054296,1.394004889,0,1.271888641,1.699245256,1.130677592,1.30744405,0.655085307,1.141454415,1.256679451,0.88502592,1.062951393,0.940172546,1.150586658,41.2567068273092,25.3580148048452,18.2493570324575,21.6994805194805
100,0,0,0,0,960,1,1.739430401,1.08613973,1.305798394,2.344095186,1.042776383,1.61065658,1.310510382,0,0.862282066,1.745873467,1.032539056,1.350052435,0.528113424,1.33083751,1.184064453,1.095144991,0.960397599,0.966262734,1.011508015,,,,
100,0,0,0,0,960,2,1.729989117,1.018165134,0.984757507,1.662372468,1.231645184,1.750598218,1.253111579,0,0.963638314,1.636727739,1.032383942,1.181656095,0.45542768,1.22090049,1.510396511,0.787610007,1.052151568,1.05131807,1.018492115,,,,
100,0,0,0,0,960,3,1.941668709,1.256548053,1.625547875,2.156235011,1.652071957,2.113987832,1.306231565,0,0.861786167,1.843991935,1.065303696,1.175792227,0.447468537,1.171909035,1.345357337,0.848746864,0.99748473,0.934477365,1.086302961,,,,
100,0,0,0,0,1200,1,1.421209875,0.926095299,1.310990146,2.234420326,1.5543145,1.729441324,1.391125288,0,0.857948612,1.51048117,0.888033141,1.266565945,0.321766059,1.215961875,0.91249773,1.298404754,0.932792995,1.041951439,0.911069044,,,,
100,0,0,0,0,1200,2,1.610161269,1.226147849,0.57368513,1.897940128,0.968592092,1.723459018,1.342211235,0,0.814748562,1.801826614,0.995644982,1.241439681,0.433677578,1.464240259,1.136303053,1.255567604,1.212142602,1.208338744,1.020888961,,,,
100,0,0,0,0,1200,3,1.901553309,1.219224586,1.449257444,2.91016852,2.020739555,1.706458369,1.322520483,0,0.641561554,1.629718107,1.019883923,1.470367666,0.310834957,1.335258586,1.192733664,1.090796746,1.229536844,1.178183561,1.062042954,,,,
100,0,0,0,0,1440,1,2.538828769,1.287061088,0.797388621,2.981463985,0.694281632,1.522657108,1.165670226,0,0.46222708,1.403364158,0.834698618,1.313296266,0.274527067,1.54682835,1.257975036,1.198097141,1.24647719,1.263393501,1.004058901,58.4854340506515,12.364950347567,46.8745290081098,20.0149068813131
100,0,0,0,0,1440,2,2.091629917,1.265447694,0.280388408,2.901065468,0.875606034,1.64279422,1.132173494,0,0.44068665,0.721745761,0.795569769,1.436159312,0.286364032,1.907274661,1.777232598,1.045660975,1.465512827,1.489192396,1.001503122,54.4024886546626,12.0583813306852,44.152233312539,20.7534643308081
100,0,0,0,0,1440,3,1.489111943,2.006431389,0.487150915,5.24189231,0.721865015,1.595797171,1.044613961,0,0.521218244,0.169412134,0.727054896,1.308652478,0.355351266,1.536083751,1.620052479,0.92386336,1.314990383,1.30080341,1.028784478,54.6231884057971,11.8540019860973,45.3432376793512,20.6057528409091
100,0,0,0,0,2880,1,,,,,,,,,,,,,,,,,,,,88.2150020807324,11.5513636363636,75.0373057288712,17.6847274633124
100,0,0,0,0,2880,2,,,,,,,,,,,,,,,,,,,,84.6051810237203,10.9387913223141,74.130510493477,16.5135534591195
100,0,0,0,0,2880,3,,,,,,,,,,,,,,,,,,,,68.1353724511028,20.2148863636364,50.6671837776517,17.3333752620545
0,100,0,0,0,0,1,1.363213167,0.939511223,1.558381952,1.21825668,0.899427977,0.323127708,0.876807998,0,1.068478777,0,0.947431338,0,1.181844998,1.014065482,1.015941453,0.984723758,0.995183605,1.034535889,0.960999101,,,,
0,100,0,0,0,0,2,0.609600161,0.994970236,0.602640712,0.913115419,0.348977648,0.552136446,1.036901077,0,0.967680475,0,0.841776886,0,0.971145914,0.97151488,1.183187836,0.810051924,1.062610795,0.99848545,1.063158003,,,,
0,100,0,0,0,0,3,0.533455579,0.809231248,0.914119394,0.906537754,0.639525592,0.418075363,1.0234284,0,0.979744382,0,0.928363046,0,1.017345803,0.996805731,0.999509973,0.983876282,1.01029463,0.97781059,1.0321876,,,,
0,100,0,0,0,0,4,0.779368508,0.633780734,0.834518432,0.747230894,0.577016292,1.277338647,1.097191101,0,1.090512537,0,1.054451392,0.072374824,0.865035101,1.025248516,1.063744553,0.950843182,0.985205058,1.023777606,0.961360639,,,,
0,100,0,0,0,0,5,0.561011993,0.605014979,0.559951605,0.706788825,0.329514668,1.252116701,0.925343695,0.009884588,0.741114612,3.136551479,1.03908993,0.067222461,0.905123056,0.935548412,0.784144407,1.177029407,0.966280011,0.938938368,1.028090247,,,,
0,100,0,0,0,0,6,1.242954813,1.252324664,0.63692808,0.876642789,1.294562314,2.177205136,1.04032773,0,1.152469218,2.863448521,1.188887409,0.077650865,1.059505127,1.056816978,0.953471778,1.093475447,0.980425901,1.026452097,0.95420441,,,,
0,100,0,0,0,5,1,8.864624497,1.773579156,3.74565091,1.066798313,9.50301691,9.149040697,3.597638287,0.594102728,8.896266904,26.57032675,0.918659393,0,0.70409804,1.156299005,1.181916834,0.965162257,1.258547105,0.858430073,1.464636595,,,,
0,100,0,0,0,5,2,8.292043521,1.320011129,3.33247603,0.676810887,6.490738587,11.62858974,4.954216005,0.074637084,8.372012881,32.34606903,1.252766939,0.035906196,0.825063868,1.146278426,1.006221737,1.123863381,1.287048303,0.95116718,1.351771605,,,,
0,100,0,0,0,5,3,7.372413834,1.168507011,3.323158612,1.052841475,9.717119526,9.877224543,3.01345224,0.033803397,6.398913324,21.4386386,1.039676603,0.05185892,0.910969346,1.150232012,0.879167719,1.290716357,1.221646121,0.892666285,1.36716716,,,,
0,100,0,0,0,15,1,6.655332491,0.947811254,3.241103538,0.62408527,1.525806302,5.25180161,0.985454554,0.691870401,6.503823563,16.13199316,0.890198305,0.001041998,0.835181438,1.078346487,1.293143494,0.822675769,0.858601638,0.966300319,0.887656462,,,,
0,100,0,0,0,15,2,7.526628516,0.74166821,3.873750091,1.332348421,1.044658692,4.860282419,1.0413845,1.161284086,6.677437921,8.163009661,0.944327301,0.041402179,0.98458333,1.496784906,1.196996013,1.233626777,1.144668483,1.477981079,0.773706385,,,,
0,100,0,0,0,15,3,6.840456905,0.592715388,3.452630061,0.926160355,1.693316673,4.839818975,0.55882952,0.86091948,7.444543834,13.59872718,1.154364804,0.093007462,0.958916273,1.192930637,0.945482771,1.244740069,0.956687804,1.218204199,0.784540694,,,,
0,100,0,0,0,30,1,3.913942371,1.146155821,1.09510003,0.440456401,0.839686082,2.651452321,1.142156313,0.464824392,5.403870563,11.85431297,0.973177083,0.035804255,0.952348564,1.075712669,0.954818332,1.111456914,1.099668757,1.102892531,0.996079542,,,,
0,100,0,0,0,30,2,4.583583694,0.546374178,0.862519529,0.97910803,0.477973395,2.568398707,1.02946366,0.048495061,4.710234033,11.00388475,0.908126652,0.064144217,1.023038911,1.228992909,0.834053701,1.453692199,1.09570997,1.261268213,0.867867635,,,,
